customer_id,signup_date,last_activity_ts,plan_type,monthly_data_gb,avg_call_minutes,num_support_tickets_last_3m,num_dropped_calls_last_30d,payment_method,auto_pay,last_bill_amount,is_promo,city,region,device_type,contract_type,data_overage_gb_last_3m,intl_call_minutes_last_3m,complaints_last_3m,net_promoter_score,age,gender,churn
100000,2024-09-15 08:12:17.914115328,2025-07-17 12:45:07.873648896,Standard,8.282826106025876,291.1626020299564,0,2,credit_card,0,95.51471652035919,1,Cairo,Alex,iOS,one-year,1.753662286714868,50.49403021049287,0,8.0,24,M,0
100001,2023-07-15 10:44:47.117475328,2025-06-11 01:37:40.795151872,Basic,12.028792118060538,,0,0,wallet,0,97.14867262188291,0,Ismailia,UpperEgypt,Android,one-year,0.0,27.638448272063933,1,4.0,66,F,0
100002,2025-01-01 10:18:32.577998592,2025-07-27 16:10:08.964208896,Premium,11.019621720397426,259.389260087705,1,1,cash,1,109.95189694873731,0,Giza,UpperEgypt,iOS,one-year,0.613245773211577,0.0,0,-9.0,51,F,0
100003,2024-06-09 12:56:07.276601088,2025-06-29 20:57:16.034748416,Basic,13.410800719011707,91.8251164840328,1,2,wallet,1,88.09139348581729,0,Cairo,Alex,Android,month-to-month,0.0,0.15357857721712875,1,9.0,39,F,1
100004,2022-05-01 06:20:50.489018368,2025-05-11 15:54:16.900649472,Standard,20.29679912280966,352.166484974931,2,1,wallet,1,144.45974225353228,0,Giza,Alex,iOS,one-year,0.0,53.2953493119523,0,2.0,66,M,1
100005,2025-05-30 20:52:25.798668032,2025-07-21 10:17:07.144817152,Basic,17.463180301122268,282.88181340340645,1,2,credit_card,0,121.79881432642382,0,Aswan,Delta,Android,month-to-month,2.946824546253165,12.859874475381233,1,-1.0,56,M,1
100006,2024-08-29 23:24:34.511761152,2025-06-15 00:17:51.148876032,Standard,17.46594516756748,153.73445365036181,2,2,credit_card,1,106.82055274074625,0,Asyut,UpperEgypt,Android,month-to-month,0.2508769607059973,27.787832381368414,0,-3.0,66,M,0
100007,2024-09-30 19:17:55.781261056,2025-05-14 00:44:19.828623104,Basic,6.960013101963938,186.97895678733812,1,0,debit_card,0,97.00345556263059,0,Aswan,Cairo,Android,one-year,0.0,78.12227604886166,1,2.0,55,M,0
100008,2022-06-13 14:25:35.811264512,2025-05-15 01:08:23.335878656,Basic,11.77268362414604,,1,0,credit_card,0,95.86025778162391,1,Mansoura,Giza,Android,one-year,0.0,45.795395472954304,0,9.0,47,F,0
100009,2023-07-30 03:25:41.608644096,2025-07-03 06:04:29.743401216,Standard,30.187955770929666,304.38273546386046,1,2,wallet,0,167.3819324107589,0,Mansoura,Giza,FeaturePhone,one-year,10.30802384685009,0.0,1,-8.0,71,M,1
100010,2023-04-19 12:13:04.248048640,2025-05-05 08:35:54.581491456,Basic,28.1927091441354,210.96297149218387,0,1,credit_card,1,136.4632220451895,0,Aswan,UpperEgypt,iOS,one-year,1.8024949560690613,66.12269631581535,0,-6.0,75,F,0
100011,2025-03-29 11:29:36.161634816,2025-05-27 08:47:56.518546944,Basic,15.384089360965351,316.042032590326,0,1,debit_card,0,121.36338554397406,0,Giza,Cairo,Android,one-year,0.0,33.741167995291,3,,61,M,1
100012,2024-04-02 05:10:41.520835840,2025-05-13 20:39:03.599126784,Premium,23.866261857107883,106.57865367198579,1,2,debit_card,0,121.69808157337293,1,Mansoura,Cairo,Android,month-to-month,0.0,39.232507920125634,1,-6.0,54,M,1
100013,2024-11-16 15:59:52.524687872,2025-06-10 13:53:56.272541696,Basic,19.340020181698407,166.60327911249703,1,1,wallet,0,111.59341977699576,0,Giza,Cairo,Android,month-to-month,0.0,37.60425331555395,0,-10.0,19,F,0
100014,2023-07-21 05:45:30.116376064,2025-06-08 02:53:35.262828800,Standard,25.23293173642051,84.8508792126334,1,1,,0,115.4705157416991,0,Tanta,UpperEgypt,Android,month-to-month,0.0,52.833907796371236,0,-6.0,68,M,0
100015,2022-10-18 04:24:44.442935552,2025-06-18 00:18:11.404054784,Standard,24.410677790244048,178.20758857042455,2,1,debit_card,1,125.88887582093146,0,Luxor,Cairo,Android,one-year,0.0,28.006464083234476,0,0.0,26,M,0
100016,2023-12-10 04:54:52.388860672,2025-05-26 17:26:13.252770304,Basic,16.062873849471654,370.6461747635276,0,0,credit_card,1,119.10530062968951,0,Ismailia,Giza,Android,one-year,0.0,0.0,0,,19,M,0
100017,2022-03-23 11:52:16.554290688,2025-05-03 22:45:08.083249408,Standard,21.53193711006859,414.6241787668322,1,3,debit_card,1,160.98794579543892,0,Aswan,Alex,Android,one-year,0.0,38.0881475236913,1,1.0,43,M,1
100018,2024-11-22 21:14:24.573223168,2025-06-26 12:33:52.283626752,Basic,20.01490852467154,268.76723745843543,0,0,cash,0,123.06494729202463,1,Aswan,Giza,iOS,one-year,0.0,0.0,0,-6.0,22,M,0
100019,2024-03-17 15:15:01.815454976,2025-06-04 09:10:09.661311232,Standard,16.29506612275313,198.92566341851563,0,2,debit_card,1,119.90180968417394,0,Mansoura,Cairo,Android,month-to-month,2.1969083008741066,75.4147029453406,0,-9.0,23,F,1
100020,2024-08-26 01:52:23.009291776,2025-06-29 22:08:51.637985024,Basic,14.43410011280788,232.26880793192453,2,2,cash,0,117.52951474382266,0,Suez,Alex,iOS,month-to-month,0.0,20.94647614274062,0,8.0,44,F,0
100021,2023-03-29 17:30:42.736478976,2025-05-10 23:56:12.017529088,Basic,,1050.4299024921768,1,2,credit_card,1,173.10964782041614,1,Ismailia,Delta,iOS,two-year,0.0,28.70648703797926,0,-7.0,40,F,0
100022,2025-05-24 13:57:10.985958144,2025-05-02 06:25:13.441761280,Basic,16.306081248998964,124.96153186887341,0,2,credit_card,1,102.17592403685451,0,Asyut,Giza,Android,month-to-month,0.0,13.099356318378408,1,6.0,25,M,0
100023,2025-02-14 12:22:34.054617856,2025-05-23 20:14:01.317590784,Premium,23.10383785349197,204.2000659215036,0,1,wallet,1,129.72985600252335,0,Giza,Alex,Android,month-to-month,0.0,38.47918407024915,0,-5.0,74,M,1
100024,2024-09-20 23:53:50.705939968,2025-06-12 00:03:23.361015040,Standard,35.13186202192531,364.7914459560199,0,4,credit_card,1,178.8861577884486,1,Aswan,Alex,Android,one-year,0.0,41.35913709160807,0,3.0,29,F,0
100025,2022-09-06 13:17:13.625689600,2025-06-06 06:06:39.308270336,Premium,21.51320993381242,166.343194453731,0,1,debit_card,0,121.22109196467653,0,Giza,Giza,Android,month-to-month,0.0,13.032431132097663,0,8.0,29,M,0
100026,2023-08-20 00:03:55.160014080,2025-07-14 13:08:52.951357952,Standard,21.011406638865303,190.07800805907658,1,0,debit_card,1,109.00232547792184,0,Mansoura,Cairo,Android,month-to-month,0.0,41.3265957798024,0,9.0,64,M,0
100027,2022-02-25 22:29:52.129849088,2025-06-04 18:15:55.866159872,Standard,16.357422999643553,251.05549247851525,0,1,wallet,1,101.45261621695956,0,Giza,UpperEgypt,Android,one-year,0.0,31.69315554506585,0,-8.0,58,M,0
100028,2022-07-17 00:39:51.670390272,2025-06-18 19:12:50.848429056,Standard,,272.65138076037675,0,0,credit_card,1,139.84788356775655,0,Cairo,UpperEgypt,Android,month-to-month,0.8385107536947816,27.603276137903794,0,,38,F,0
100029,2024-05-22 06:05:03.548308992,2025-06-24 14:28:56.741204480,Premium,13.772226173259552,199.99967630404223,0,1,credit_card,1,83.35282183782934,1,Suez,Alex,Android,two-year,0.0,11.211561573073702,0,0.0,33,F,0
100030,2024-08-09 01:28:13.995346176,2025-05-03 00:12:13.365914368,Standard,54.26811675696966,256.15715066015645,0,3,wallet,0,212.8514881874546,0,Aswan,UpperEgypt,iOS,two-year,0.0,87.8597073658201,0,8.0,70,M,0
100031,2025-05-20 12:14:17.806717184,2025-06-17 09:24:52.185874944,Basic,7.062978360766819,,0,3,debit_card,1,95.64113805588524,1,Tanta,Giza,Android,month-to-month,0.0,59.569796638599264,0,6.0,19,F,0
100032,2023-02-21 01:53:44.074385152,2025-06-01 17:23:14.714709504,Standard,14.931984080224803,406.9161459010918,0,0,debit_card,1,129.30798395750398,1,Mansoura,UpperEgypt,iOS,two-year,0.0,48.20907460296978,0,-7.0,55,M,0
100033,2023-04-19 01:50:56.654004224,2025-06-08 18:11:11.478928640,Standard,,,1,1,credit_card,1,119.11577998592816,1,Aswan,Alex,Android,month-to-month,0.0,58.16209825463556,0,8.0,23,M,0
100034,2023-08-23 14:56:47.414331392,2025-05-10 05:26:04.473159168,Basic,21.0212596135665,246.69621477275498,2,5,credit_card,0,130.02819041466472,0,Asyut,UpperEgypt,Android,month-to-month,5.2386072138942925,37.497710846528165,0,-3.0,18,M,0
100035,2022-08-30 22:55:05.567574784,2025-07-12 00:28:04.112227840,Basic,13.759047584382667,372.19618767836084,1,1,wallet,0,123.26536920219334,0,Alexandria,Delta,Android,one-year,0.0,21.266695025562,0,4.0,24,F,0
100036,2022-06-15 21:50:03.463877376,2025-07-26 16:49:42.908826880,Basic,5.506807473949287,206.06673133615237,1,3,debit_card,1,106.46178579672649,0,Tanta,UpperEgypt,iOS,one-year,0.0,0.0,0,-7.0,50,M,0
100037,2023-08-31 11:24:16.484300544,2025-05-03 01:10:10.401420544,Premium,7.803825434425092,144.05175737902553,0,2,wallet,0,84.95457969610405,0,Suez,Alex,Android,month-to-month,0.0,0.0,0,-5.0,35,F,0
100038,2022-10-17 18:19:03.826961152,2025-06-25 07:49:51.817035008,Basic,18.118263794605735,270.019918052717,0,2,wallet,0,133.08353214641116,0,Asyut,UpperEgypt,Android,month-to-month,3.2609160911810164,84.12563734771413,1,-9.0,58,M,0
100039,2024-05-05 08:27:33.512506368,2025-07-10 06:34:03.722061568,Premium,4.457524601086663,336.09400200703317,0,0,debit_card,0,82.76372629983564,0,Ismailia,UpperEgypt,Android,month-to-month,0.0,59.00502712473623,1,-8.0,73,M,0
100040,2023-07-13 05:49:55.234557184,2025-05-27 04:51:18.560660224,Standard,22.497784867598575,,1,1,debit_card,1,142.29360179495697,0,Asyut,Delta,Android,month-to-month,4.094922351068408,35.057966735407845,2,9.0,20,F,1
100041,2024-11-29 07:55:16.870010112,2025-07-12 10:55:21.832960768,Standard,29.4202070288869,242.23874739622033,2,3,debit_card,1,149.58457873549403,1,Tanta,Giza,Android,month-to-month,0.0,0.0,0,-7.0,53,M,1
100042,2024-06-13 05:43:29.446193664,2025-06-28 04:14:23.827531008,Basic,24.584853410965984,134.1285301492129,0,0,cash,1,127.03289601456093,0,Suez,Cairo,Android,two-year,0.0,45.869391901984386,0,3.0,70,M,0
100043,2023-02-03 21:24:46.170276352,2025-07-25 11:35:27.931396352,Premium,27.119778952056173,794.3388861033881,0,1,debit_card,1,144.60104176567648,0,Alexandria,Alex,Android,one-year,2.879083050977084,23.048893832310593,0,6.0,25,M,0
